[BEGIN] 2016/5/13 11:40:16
ps -ef  
UID        PID  PPID  C STIME TTY          TIME CMD
root     19644     1  5 Apr22 ?        1-02:06:47 /data/mongodb/service/mongodb-linux-x86_64-2.6.6-ent/bin/mongos -f /data/mongodb/config/mongos.conf
root     20890     2  0  2015 ?        07:11:59 [jbd2/vdb1-8]
root     20891     2  0  2015 ?        00:00:00 [ext4-dio-unwrit]
root     21626     2  0  2015 ?        02:37:49 [flush-252:16]
root     21748     1  1  2015 ?        2-20:48:03 ./mongod -f /data/mongodb/config/configsvr.conf
mongod   24547     1  0  2015 ?        07:05:30 /var/lib/mongodb-mms-automation/mongodb-mms-monitoring-agent-2.9.0.164-1.linux_x86_64/mongodb-mms-moni
mongod   24564     1  0  2015 ?        03:43:01 /var/lib/mongodb-mms-automation/mongodb-mms-backup-agent-3.0.0.246-1.linux_x86_64/mongodb-mms-backup-a
root     25887 19400  0 11:12 pts/2    00:00:00 su -
root     25986 25887  0 11:12 pts/2    00:00:00 -bash
postfix  27584  2124  0 11:30 ?        00:00:00 pickup -l -t fifo -u
mongod   27971     1  6  2015 ?        31-06:18:30 /opt/mongodb-mms-automation/bin/mongodb-mms-automation-agent -f /etc/mongodb-mms/automation-agent.c
root     31964     1  0  2015 ?        05:53:51 /usr/bin/python /usr/bin/salt-minion -d
]0;root@vm242:~[root@vm242 ~]# df -h 
Filesystem      Size  Used Avail Use% Mounted on
/dev/vda3       193G   16G  168G   9% /
tmpfs           7.8G     0  7.8G   0% /dev/shm
/dev/vda1       194M   34M  151M  19% /boot
/dev/vdb1       673G  349G  291G  55% /mongodbData
]0;root@vm242:~[root@vm242 ~]# i[Kcat /etc/rc.local 
#!/bin/sh
#
# This script will be executed *after* all the other init scripts.
# You can put your own initialization stuff in here if you don't
# want to do the full Sys V style init stuff.

touch /var/lock/subsys/local
/etc/init.d/zabbix_agentd start
/data/mongodb/service/mongodb-linux-x86_64-2.6.6-ent/bin/mongod -f /data/mongodb/config/mongodb.conf
/data/mongodb/service/mongodb-linux-x86_64-2.6.6-ent/bin/mongod -f /data/mongodb/config/configsvr.conf
/data/mongodb/service/mongodb-linux-x86_64-2.6.6-ent/bin/mongos -f /data/mongodb/config/mongos.conf
mount /dev/vdb1 /mongodbData
]0;root@vm242:~[root@vm242 ~]# 
[END] 2016/5/13 11:40:53
